Train No,Train Name,SEQ,Station Code,Station Name,Arrival time,Departure Time,Distance,Source Station,Source Station Name,Destination Station,Destination Station Name
2842,MAS SRC SPL,1,MAS,CHENNAI CENT,18:20:00,18:20:00,0,MAS,CHENNAI CENTRAL,SRC,SANTRAGACHI JN.
2842,MAS SRC SPL,2,NLR,NELLORE,21:40:00,21:42:00,175,MAS,CHENNAI CENTRAL,SRC,SANTRAGACHI JN.
2842,MAS SRC SPL,3,BZA,VIJAYWADA JN,01:35:00,01:45:00,429,MAS,CHENNAI CENTRAL,SRC,SANTRAGACHI JN.
2842,MAS SRC SPL,4,RJY,RAJAHMUNDRY,04:01:00,04:03:00,579,MAS,CHENNAI CENTRAL,SRC,SANTRAGACHI JN.
2842,MAS SRC SPL,5,DVD,DUVVADA,07:40:00,07:42:00,762,MAS,CHENNAI CENTRAL,SRC,SANTRAGACHI JN.
2842,MAS SRC SPL,6,VSKP,VISAKHAPATNA,08:15:00,08:45:00,780,MAS,CHENNAI CENTRAL,SRC,SANTRAGACHI JN.
2842,MAS SRC SPL,7,KUR,KHURDA ROAD,15:05:00,15:15:00,1203,MAS,CHENNAI CENTRAL,SRC,SANTRAGACHI JN.
2842,MAS SRC SPL,8,BBS,BHUBANESWAR,15:45:00,15:50:00,1222,MAS,CHENNAI CENTRAL,SRC,SANTRAGACHI JN.
2842,MAS SRC SPL,9,CTC,CUTTACK JN.,16:15:00,16:20:00,1249,MAS,CHENNAI CENTRAL,SRC,SANTRAGACHI JN.
2842,MAS SRC SPL,10,BHC,BHADRAKH,18:38:00,18:40:00,1365,MAS,CHENNAI CENTRAL,SRC,SANTRAGACHI JN.
2842,MAS SRC SPL,11,KGP,KHARAGPUR,21:20:00,21:25:00,1548,MAS,CHENNAI CENTRAL,SRC,SANTRAGACHI JN.
2842,MAS SRC SPL,12,SRC,SANTRAGACHI,23:30:00,23:30:00,1656,MAS,CHENNAI CENTRAL,SRC,SANTRAGACHI JN.
6041,MAS-QLN SPEC,1,MAS,CHENNAI CENT,18:20:00,18:20:00,0,MAS,CHENNAI CENTRAL,QLN,QUILON
6041,MAS-QLN SPEC,2,AJJ,ARAKKONAM JN,19:32:00,19:34:00,68,MAS,CHENNAI CENTRAL,QLN,QUILON
6041,MAS-QLN SPEC,3,KPD,KATPADI JN,20:25:00,20:27:00,128,MAS,CHENNAI CENTRAL,QLN,QUILON
6041,MAS-QLN SPEC,4,JTJ,JOLARPETTAI,21:47:00,21:52:00,212,MAS,CHENNAI CENTRAL,QLN,QUILON
6041,MAS-QLN SPEC,5,SA,SALEM JN.,23:30:00,23:32:00,331,MAS,CHENNAI CENTRAL,QLN,QUILON
6041,MAS-QLN SPEC,6,ED,ERODE JN.,00:35:00,00:45:00,391,MAS,CHENNAI CENTRAL,QLN,QUILON
6041,MAS-QLN SPEC,7,TUP,TIRUPPUR,01:22:00,01:24:00,441,MAS,CHENNAI CENTRAL,QLN,QUILON
6041,MAS-QLN SPEC,8,CBE,COIMBATORE,02:19:00,02:24:00,491,MAS,CHENNAI CENTRAL,QLN,QUILON
6041,MAS-QLN SPEC,9,PGT,PALAKKAD JN,03:25:00,03:30:00,545,MAS,CHENNAI CENTRAL,QLN,QUILON
6041,MAS-QLN SPEC,10,TCR,TRICHUR,05:18:00,05:20:00,621,MAS,CHENNAI CENTRAL,QLN,QUILON
6041,MAS-QLN SPEC,11,AWY,ALWAYE,06:23:00,06:25:00,676,MAS,CHENNAI CENTRAL,QLN,QUILON
6041,MAS-QLN SPEC,12,ERN,ERNAKULAM TO,07:15:00,07:20:00,693,MAS,CHENNAI CENTRAL,QLN,QUILON
6041,MAS-QLN SPEC,13,KTYM,KOTTAYAM,08:28:00,08:30:00,752,MAS,CHENNAI CENTRAL,QLN,QUILON
6041,MAS-QLN SPEC,14,CGY,CHANGANACHER,09:04:00,09:10:00,769,MAS,CHENNAI CENTRAL,QLN,QUILON
6041,MAS-QLN SPEC,15,TRVL,TIRUVALLA,09:26:00,09:28:00,777,MAS,CHENNAI CENTRAL,QLN,QUILON
6041,MAS-QLN SPEC,16,CNGR,CHENGANNUR,09:38:00,09:40:00,786,MAS,CHENNAI CENTRAL,QLN,QUILON
6041,MAS-QLN SPEC,17,MVLK,MAVELIKARA,09:56:00,09:58:00,799,MAS,CHENNAI CENTRAL,QLN,QUILON
